qid,P31,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
Q65620090,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.946092/-43.14192,13.51U11573,-100.76U28390,95.13U28390,Q4233718,Q11472,Q71989864,001AAN005121,Q172984,52.4U28390,14.1U174728,8.3U174728,79130
Q65620091,Q125191,Ilha Fiscal,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1908-01-01T00:00:00Z/9,1909-01-01T00:00:00Z/9,Q155,@-22.894957/-43.166474,8.1U11573,177.39U28390,100.66U28390,Q4233718,Q11472,Q71989864,001AAN005122,Q172984,52.6U28390,14.1U174728,8.3U174728,79131
Q65620092,Q125191,Ilha das Cobras,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.894054/-43.166004,16.75U11573,-110.2U28390,95.93U28390,Q4233718,Q11472,Q71989864,001AAN005123,Q172984,39.8U28390,14.1U174728,8.3U174728,79132
Q65620093,Q125191,Rua Primeiro de Março,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.901312/-43.17648300000001,7.27U11573,147.64U28390,98.73U28390,Q4233718,Q11472,Q71989864,001AAN005124,Q172984,50.2U28390,14.1U174728,8.3U174728,79133
Q65620094,Q125191,Quartel Central do Corpo de Bombeiros,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.909437/-43.187345,13.02U11573,-161.91U28390,91.04U28390,Q4233718,Q11472,Q71989864,001AAN005125,Q172984,42.8U28390,14.1U174728,8.3U174728,79134
Q65620095,Q125191,Quartel Central do Corpo de Bombeiros,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.909114/-43.187541,8.35U11573,-153.28U28390,95.04U28390,Q4233718,Q11472,Q71989864,001AAN005126,Q172984,50.0U28390,14.1U174728,8.3U174728,79135
Q65621321,Q125191,Quartel Central do Corpo de Bombeiros,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.909038/-43.187488,14.99U11573,-174.58U28390,89.91U28390,Q4233718,Q11472,Q71989864,001AAN005127,Q172984,45.0U28390,14.1U174728,8.3U174728,79136
Q65620097,Q125191,Fachada do Teatro Municipal,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.909585/-43.176196,10.03U11573,-35.72U28390,101.65U28390,Q4233718,Q11472,Q71989864,001AAN005128,Q172984,48.8U28390,14.1U174728,8.3U174728,79129
Q65620098,Q125191,Palácio Monroe,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.911583/-43.17545,8.86U11573,179.76U28390,105.65U28390,Q4233718,Q11472,Q71989864,001AAN005129,Q172984,51.8U28390,14.1U174728,8.3U174728,79137
Q65620099,Q125191,"Palácio Amarelo, em primeiro plano o Chafariz da Águia.",Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.507836/-43.176668,870.01U11573,-108.05U28390,95.98U28390,Q4233718,Q11472,Q71989864,001AAN005135,Q172984,36.0U28390,14.1U174728,8.3U174728,79138
Q65620100,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.96883/-43.221667,12.88U11573,-92.23U28390,100.47U28390,Q4233718,Q11472,Q71989864,001AAN005136,Q172984,50.0U28390,14.1U174728,8.3U174728,79139
Q65620101,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.968654/-43.222232,13.11U11573,-105.48U28390,103.8U28390,Q4233718,Q11472,Q71989864,001AAN005137,Q172984,50.0U28390,14.1U174728,8.3U174728,79140
Q65621322,Q125191,Jardim Botânico,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1905-01-01T00:00:00Z/9,1915-01-01T00:00:00Z/9,Q155,@-22.969067000000006/-43.22216,7.77U11573,-50.94U28390,95.61U28390,Q4233718,Q11472,Q71989864,001AAN005138,Q172984,40.0U28390,14.1U174728,8.3U174728,79141
